config,heldout_medabs_ms,heldout_rms_trim_ms,heldout_rms_ms,heldout_corr,heldout_recovery_pct,stability_dh_med_m,stability_dz_med_m,stability_dz_p90_m,cluster1_depth_shift_m,moved_dh_med_m,moved_dz_med_m,cc_kept_pct,n_relocated,ct_pct,cc_pct,rmsct_ms,rmscc_ms,rmsst_ms,dx_m,dy_m,dz_m,cnd
clean_flat30,1.2905865,5.583906793859147,11.258249803917359,0.915996218426953,95.64690142423105,5.968719089267093,12.999999999999956,135.30000000000015,24.00000000000002,491.0430605311413,292.99999999999994,77.91,3277.0,36.0,48.0,1.0,7.0,11.0,0.0,0.0,1.0,1187.0
clean_flat30__seed7,1.318207,5.499484242369035,11.10295846449939,0.9181818866006133,95.60637187657935,19.35990755925281,4.0000000000000036,49.000000000000135,6.000000000000005,491.0430605311413,292.99999999999994,77.91,3277.0,36.0,48.0,1.0,7.0,11.0,0.0,0.0,1.0,1187.0
clean_0.2_0.5,1.399464,5.837525763430381,11.86291196491527,0.9102864104035209,99.16431052322861,30.96186798407355,4.0000000000000036,26.99999999999987,0.0,213.46578336780686,179.99999999999994,77.91,3293.0,40.0,50.0,1.0,7.0,13.0,1.0,1.0,1.0,6590.0
wrct_tight,1.401114,8.434601994110265,24.718842237111406,0.7269949977229601,95.59485297508846,140.95609990461963,12.00000000000001,150.60000000000028,16.000000000000014,218.65902287532873,258.0,,3178.0,23.0,76.0,1.0,5.0,10.0,2.0,4.0,3.0,10530.0
clean_0.2_0.5__seed7,1.4252265,6.3188391885626665,12.799756700099039,0.8962083226237063,99.6291604586596,20.695488465609905,8.000000000000007,30.999999999999915,3.0000000000001137,213.46578336780686,179.99999999999994,77.91,3293.0,40.0,50.0,1.0,7.0,13.0,1.0,1.0,1.0,6590.0
dtmax_0.5,1.470405,6.852050164582581,14.255661591611652,0.8729528559047189,99.43057120825672,27.022879755189756,16.999999999999904,128.0000000000001,75.50000000000013,246.87266784524658,201.99999999999994,99.97,3242.0,58.0,46.0,3.0,7.0,11.0,2.0,27.0,3.0,9227.0
damp_low,1.4837064999999998,8.621280226427073,24.837367612083472,0.7246037714547747,95.71806004862397,15.287654912104848,18.999999999999684,96.99999999999997,36.00000000000003,344.29521470551657,362.9999999999998,,3285.0,37.0,45.0,0.0,7.0,11.0,2.0,0.0,0.0,13695.0
damp_flat20,1.499489,8.904439669293286,25.420650871775123,0.7127803446592567,95.69895306930563,10.069072383302904,8.000000000000007,388.70000000000016,159.49999999999997,164.45413840940654,224.99999999999986,,2927.0,24.0,7.0,4.0,9.0,38.0,38.0,10.0,63.0,1936.0
v5model,1.514919,8.515128179335047,24.674152257193114,0.7279958966323629,95.68972901032436,28.08498911648261,4.999999999999893,28.000000000000025,4.0000000000000036,226.52273663497544,156.00000000000014,,3408.0,34.0,65.0,0.0,4.0,12.0,1.0,0.0,0.0,6499.0
base,1.525944,6.351159319780875,12.52496003980613,0.9003370839430683,99.5821552616143,156.25612825770258,57.99999999999983,2668.9999999999995,2409.9999999999995,430.800399223486,243.0000000000001,,3329.0,48.0,44.0,2.0,7.0,11.0,11.0,7.0,4.0,7894.0
damp_flat30,1.572712,8.576821280675333,24.757291585734183,0.7260863777745935,95.6014415886465,23.974124855498868,5.0000000000001155,60.99999999999994,8.000000000000007,417.3508967959132,289.00000000000006,,3328.0,40.0,46.0,1.0,7.0,11.0,1.0,0.0,2.0,1381.0
ccmin_0.6,1.595195,6.4664017380424985,12.516064592518447,0.9002000803846245,99.26976029947737,14.01369362115277,16.000000000000014,840.9999999999998,813.0000000000006,177.51921830182502,312.99999999999994,52.92,3021.0,30.0,42.0,0.0,7.0,14.0,1.0,1.0,1.0,6823.0
damp_flat20__seed7,1.604303,9.56847617150262,43.75600369840896,0.5170493138798128,95.84976476532306,12.060052248588878,14.000000000000012,393.60000000000053,173.00000000000026,164.45413840940654,224.99999999999986,,2927.0,24.0,7.0,4.0,9.0,38.0,38.0,10.0,63.0,1936.0
ccmin_0.7,1.6206225,6.971631241083448,13.546355213383837,0.8834571659667765,99.02524863080056,53.489671097796275,62.5,631.0000000000002,597.9999999999999,161.19299593491638,453.00000000000006,28.95,3082.0,32.0,63.0,0.0,6.0,10.0,0.0,0.0,0.0,7704.0
damp_flat30__seed7,1.6317255,9.485372657702042,43.65724894470683,0.5197387306199539,95.63454308042598,15.373232283759243,11.00000000000012,89.50000000000014,20.999999999999908,417.3508967959132,289.00000000000006,,3328.0,40.0,46.0,1.0,7.0,11.0,1.0,0.0,2.0,1381.0
damp_flat25,1.6629610000000001,8.607298698414326,24.702343763695247,0.7268857518596052,95.59287639102104,333.9554639086865,16.000000000000014,213.90000000000006,16.999999999999904,825.42891962106,258.0,,3132.0,43.0,42.0,1.0,7.0,11.0,1.0,1.0,1.0,1917.0
v5model__seed7,1.674485,9.353004783862504,43.51378589305708,0.5230000899033473,95.68441151960945,27.71459629795894,4.0000000000000036,28.000000000000025,0.9999999999998899,226.52273663497544,156.00000000000014,,3408.0,34.0,65.0,0.0,4.0,12.0,1.0,0.0,0.0,6499.0
damp_flat25__seed7,1.688744,9.548422446181682,43.76102113141806,0.5169301357742921,95.60764036981385,476.9468012437419,16.000000000000014,222.0000000000001,71.00000000000017,825.42891962106,258.0,,3132.0,43.0,42.0,1.0,7.0,11.0,1.0,1.0,1.0,1917.0
