config,heldout_medabs_ms,heldout_rms_trim_ms,heldout_rms_ms,heldout_corr,heldout_recovery_pct,stability_dh_med_m,stability_dz_med_m,stability_dz_p90_m,cluster1_depth_shift_m,moved_dh_med_m,moved_dz_med_m,cc_kept_pct,n_relocated,ct_pct,cc_pct,rmsct_ms,rmscc_ms,rmsst_ms,dx_m,dy_m,dz_m,cnd
clean_ccstrong__seed7,1.773606,9.976439150473343,15.021395640082345,0.8563265873002696,77.00669667427269,29.21324803980118,10.000000000000009,76.00000000000007,6.999999999999895,587.1035828488734,308.00000000000006,84.76,3546,77.0,76.0,8.0,6.0,28.0,17.0,59.0,17.0,7965.0
clean_ccstrong,1.798845,9.999847940589836,15.118039346945409,0.8542885609071544,76.9244185006529,28.566440494051413,9.000000000000119,59.00000000000016,0.0,587.1035828488734,308.00000000000006,84.76,3546,77.0,76.0,8.0,6.0,28.0,17.0,59.0,17.0,7965.0
clean_0.2_0.5,1.821346,10.064794594209815,15.299947621968142,0.8504219539982162,76.9175615485979,246.43769506044242,42.000000000000036,213.99999999999997,42.99999999999993,521.8613882716794,263.0,84.76,3534,68.0,74.0,5.0,7.0,10.0,74.0,32.0,16.0,13512.0
ccmin_0.5,1.822952,10.00267970992843,15.185273964201508,0.8528635709391681,76.90071729681063,48.179982616451085,10.000000000000009,133.0999999999999,18.000000000000014,619.3688075112984,259.9999999999999,84.77,3560,68.0,74.0,5.0,6.0,9.0,22.0,27.0,10.0,9680.0
ccmin_0.5__seed7,1.8234275000000002,10.084659815790449,15.146530877514824,0.8537176490564996,77.00193671032942,291.69282565780793,44.00000000000004,173.00000000000006,74.00000000000007,619.3688075112984,259.9999999999999,84.77,3560,68.0,74.0,5.0,6.0,9.0,22.0,27.0,10.0,9680.0
clean_flat30,1.824751,9.968648668613348,15.175277500815934,0.8531174982175243,76.90280419526215,18.759493091165282,6.000000000000005,144.10000000000002,4.0000000000000036,611.4364497481222,265.9999999999998,84.76,3575,67.0,70.0,5.0,7.0,10.0,8.0,15.0,6.0,2053.0
clean_ccweak,1.8561420000000002,10.126590339364805,15.289089284631416,0.8506653577535807,76.90459296536345,192.73412793667796,32.00000000000003,181.5999999999999,50.999999999999936,542.0525133248467,240.50000000000006,84.76,3548,51.0,69.0,2.0,7.0,10.0,22.0,14.0,9.0,11138.0
clean_ccweak__seed7,1.872512,10.319933470906715,15.703059653048618,0.8417975850830619,76.98676432526024,182.59885073965057,25.000000000000135,178.9999999999999,35.99999999999981,542.0525133248467,240.50000000000006,84.76,3548,51.0,69.0,2.0,7.0,10.0,22.0,14.0,9.0,11138.0
clean_flat30__seed7,1.908981,10.002895966484893,15.071036414098478,0.8553279841197111,76.9762031552611,137.4106553686263,20.999999999999908,210.99999999999986,41.00000000000015,611.4364497481222,265.9999999999998,84.76,3575,67.0,70.0,5.0,7.0,10.0,8.0,15.0,6.0,2053.0
clean_0.2_0.5__seed7,1.945576,10.595679046224081,16.49902494079838,0.8249147011507542,76.97977312821855,172.78840483213318,34.99999999999992,165.00000000000003,31.500000000000085,521.8613882716794,263.0,84.76,3534,68.0,74.0,5.0,7.0,10.0,74.0,32.0,16.0,13512.0
