file,sta,ph,r_km,n,w_mean,dTdz,dTdr,I_z,I_r,w_sum,I_z_share,I_r_share,cluster
dt.cc.upsampled,BAUM,P,7.347874741628518,144,0.559432638888889,-190.34268533504095,176.6670153870953,2918654.4264719007,2514323.9781868183,80.5583,0.0009113345347113447,0.00013587393398605945,1
dt.cc.upsampled,BAUM,S,7.347874741628518,8,0.4318375,-382.5330686473061,354.6754164503918,505531.6009785609,434582.7809280541,3.4547,0.00015784959061309188,2.3484830355823445e-05,1
dt.cc.upsampled,DRSC,P,2.636215936972488,23859,0.8869889685234084,110.44925356719747,234.99249897302232,258164204.89336157,1168633832.2698941,21162.6698,0.0806104187641075,0.06315291010915107,1
dt.cc.upsampled,DRSC,S,2.636215936972488,24085,0.7605209674070998,220.07657081376087,472.86201925794245,887167172.3066108,4095686508.4921155,18317.1475,0.2770132958709178,0.2213306809744402,1
dt.cc.upsampled,EPJZ,P,6.482939789100356,12034,0.7388076699351837,44.801907034819344,255.77028894252507,17845733.521098346,581623024.9386858,8890.8115,0.005572236681234034,0.03143087731768007,1
dt.cc.upsampled,EPJZ,S,6.482939789100356,185,0.44530756756756756,81.30786318238049,515.2074031764364,544624.155367523,21867341.827019297,82.3819,0.0001700560356590058,0.0011817099887014844,1
dt.cc.upsampled,FRST,P,4.354522365612175,22323,0.9144812525198226,68.32400581913367,250.51426488124085,95295854.32278387,1281127303.9911995,20413.965,0.029755630632899266,0.06923205133483587,1
dt.cc.upsampled,FRST,S,4.354522365612175,12369,0.5358416606031208,132.50161735923083,504.4736273871786,116362602.1390219,1686739441.6126845,6627.825500000001,0.03633361213179165,0.09115130966799216,1
dt.cc.upsampled,JULA,P,4.319076680845484,23335,0.8921908035140348,68.89495983034344,250.35428116399362,98818998.9376424,1304895076.163642,20819.2724,0.030855714058049422,0.07051646047827609,1
dt.cc.upsampled,JULA,S,4.319076680845484,19834,0.5678902591509529,133.71618039278667,504.14590953972385,201392203.29264054,2862775052.8864975,11263.5354,0.06288365906478723,0.15470421152064287,1
dt.cc.upsampled,OKGS,P,6.525914309161462,183,0.6449994535519126,44.48081527472336,255.82655495917538,233537.11659364932,7725056.802424195,118.0349,7.292073962520258e-05,0.0004174616585282213,1
dt.cc.upsampled,OKGS,S,6.525914309161462,22,0.44126818181818184,80.58914674795581,515.3207587548403,63049.02998709765,2577986.0870423326,9.7079,1.9686728886485542e-05,0.00013931423096094864,1
dt.cc.upsampled,WICH,P,2.3548249856944423,24517,0.9226717175837174,121.5814800390591,229.43643078287224,334387001.744911,1190801276.3551474,22621.142499999998,0.10441058725033474,0.06435083760791813,1
dt.cc.upsampled,WICH,S,2.3548249856944423,23877,0.8446277002973573,242.8025093184183,461.617004268664,1188916683.5582209,4297428664.440137,20167.175600000002,0.37123299791638337,0.23223281634653106,1
dt.ct,BAUM,P,7.347874741628518,154,1.0,-190.34268533504095,176.6670153870953,5579472.03052538,4806530.086170761,154.0,0.0013529643627827807,0.00018401335062774913,1
dt.ct,BAUM,S,7.347874741628518,16,1.0,-382.5330686473061,354.6754164503918,2341304.7777395938,2012714.416548142,16.0,0.0005677422360689653,7.705482271117127e-05,1
dt.ct,DRSC,P,2.636215936972488,23860,1.0,110.44925356719747,234.99249897302232,291069037.45932883,1317584383.3257594,23860.0,0.07058123647496378,0.05044244241977183,1
dt.ct,DRSC,S,2.636215936972488,24112,1.0,220.07657081376087,472.86201925794245,1167833302.5738316,5391406772.95752,24112.0,0.2831875187130445,0.2064047882990423,1
dt.ct,EPJZ,P,6.482939789100356,12061,1.0,44.801907034819344,255.77028894252507,24208970.350790493,789011813.3519634,12061.0,0.005870425367326429,0.030206553346561717,1
dt.ct,EPJZ,S,6.482939789100356,447,1.0,81.30786318238049,515.2074031764364,2955102.971032263,118651084.72464977,447.0,0.0007165819608533264,0.004542441899743488,1
dt.ct,FRST,P,4.354522365612175,22327,1.0,68.32400581913367,250.51426488124085,104226226.48097984,1401184400.786986,22327.0,0.025273783849905657,0.05364298814606194,1
dt.ct,FRST,S,4.354522365612175,14506,1.0,132.50161735923083,504.4736273871786,254677179.8123912,3691684752.417455,14506.0,0.06175658671914551,0.14133257642727137,1
