cluster,n_events,station,dist_km,az,component,plunge_deg,depth_spread_m,n_scored,n_good_cc,mean_cc,r_depth_all,r_axis_all,slope_obs_all,r_depth_good,r_axis_good,slope_obs_good,slope_pred_msperkm
0,1732,JULA,0.22,281,Z,82.8,1126,1529,1461,0.759,0.079,0.133,12,0.065,0.113,9.0,260
0,1732,JULA,0.22,281,N,82.8,1126,1529,1510,0.882,0.088,0.127,11,0.081,0.127,9.0,260
0,1732,WICH,4.85,101,Z,82.8,1126,1537,1420,0.723,-0.12,-0.162,-14,-0.049,-0.084,-5.0,96
0,1732,WICH,4.85,101,N,82.8,1126,1537,1320,0.691,-0.133,-0.163,-19,0.06,0.072,4.0,96
0,1732,EPJZ,4.93,39,Z,82.8,1126,1577,1426,0.67,-0.215,-0.225,-41,-0.079,-0.104,-6.0,95
0,1732,EPJZ,4.93,39,N,82.8,1126,1577,1461,0.742,-0.08,-0.049,-15,-0.018,-0.011,-1.0,95
2,378,DRSC,2.37,216,Z,89.4,541,363,359,0.793,-0.223,-0.223,-23,-0.294,-0.294,-23.0,87
2,378,DRSC,2.37,216,N,89.4,541,363,363,0.88,-0.255,-0.255,-22,-0.255,-0.255,-22.0,87
2,378,WICH,2.71,45,Z,89.4,541,360,358,0.851,-0.144,-0.145,-12,-0.167,-0.168,-13.0,77
2,378,WICH,2.71,45,N,89.4,541,360,359,0.895,-0.138,-0.138,-11,-0.148,-0.148,-12.0,77
2,378,JULA,4.2,313,Z,89.4,541,333,149,0.469,-0.071,-0.071,-26,0.092,0.093,8.0,51
2,378,JULA,4.2,313,N,89.4,541,333,298,0.697,-0.074,-0.074,-23,-0.142,-0.141,-11.0,51
3,239,DRSC,2.15,210,Z,85.1,419,235,232,0.69,-0.018,-0.014,-2,-0.003,0.002,0.0,98
3,239,DRSC,2.15,210,N,85.1,419,235,235,0.882,0.0,0.005,0,0.0,0.005,0.0,98
3,239,WICH,2.97,48,Z,85.1,419,233,230,0.734,-0.02,-0.022,-2,-0.019,-0.021,-2.0,73
3,239,WICH,2.97,48,N,85.1,419,233,233,0.815,-0.018,-0.02,-2,-0.018,-0.02,-2.0,73
3,239,JULA,4.03,317,Z,85.1,419,211,6,0.326,-0.107,-0.108,-76,,,,55
3,239,JULA,4.03,317,N,85.1,419,211,128,0.511,-0.166,-0.169,-60,0.084,0.082,8.0,55
7,117,FRST,2.46,162,Z,82.3,341,117,113,0.769,-0.152,-0.144,-19,-0.156,-0.149,-21.0,127
7,117,FRST,2.46,162,N,82.3,341,117,117,0.884,-0.138,-0.132,-17,-0.138,-0.132,-17.0,127
7,117,WICH,2.6,338,Z,82.3,341,113,99,0.722,0.126,0.113,22,-0.174,-0.186,-26.0,121
7,117,WICH,2.6,338,N,82.3,341,113,104,0.779,-0.049,-0.062,-7,-0.046,-0.058,-7.0,121
4,102,WICH,2.86,71,Z,87.1,330,81,42,0.494,0.239,0.237,53,0.305,0.304,39.0,106
4,102,WICH,2.86,71,N,87.1,330,81,81,0.823,0.266,0.264,58,0.266,0.264,58.0,106
4,102,DRSC,2.95,192,Z,87.1,330,100,81,0.587,0.19,0.196,21,0.118,0.122,13.0,103
4,102,DRSC,2.95,192,N,87.1,330,100,100,0.83,0.241,0.246,27,0.241,0.246,27.0,103
4,102,JULA,2.97,310,Z,87.1,330,95,30,0.454,0.21,0.209,55,0.354,0.351,43.0,103
4,102,JULA,2.97,310,N,87.1,330,95,90,0.668,0.205,0.201,24,0.235,0.231,27.0,103
1,75,EPJZ,5.87,55,Z,16.8,255,75,52,0.56,0.024,-0.162,7,0.119,0.055,27.0,82
1,75,EPJZ,5.87,55,N,16.8,255,75,63,0.635,0.059,0.067,28,0.281,-0.127,74.0,82
1,75,JULA,1.57,106,Z,16.8,255,75,73,0.729,0.324,-0.176,127,0.066,-0.144,21.0,204
1,75,JULA,1.57,106,N,16.8,255,75,75,0.86,0.255,-0.172,86,0.255,-0.172,86.0,204
1,75,DRSC,6.11,149,Z,16.8,255,75,2,0.319,-0.559,0.512,-1034,,,,79
1,75,DRSC,6.11,149,N,16.8,255,75,35,0.495,-0.474,0.278,-370,-0.074,0.082,-23.0,79
6,48,DRSC,2.68,198,Z,89.1,295,48,48,0.772,0.033,0.033,2,0.033,0.033,2.0,104
6,48,DRSC,2.68,198,N,89.1,295,48,48,0.933,0.028,0.029,2,0.028,0.029,2.0,104
6,48,WICH,2.79,63,Z,89.1,295,47,46,0.736,0.192,0.193,24,0.259,0.26,34.0,101
6,48,WICH,2.79,63,N,89.1,295,47,47,0.851,0.191,0.192,23,0.191,0.192,23.0,101
6,48,JULA,3.35,312,Z,89.1,295,46,14,0.436,-0.028,-0.029,-9,,,,86
6,48,JULA,3.35,312,N,89.1,295,46,45,0.652,0.046,0.045,10,0.265,0.265,28.0,86
